English,Persian
things,چیز
working,کار کردن
against,در برابر
standard,استاندارد
tax,مالیات
person,شخص
below,زیر
mobile,سیار
less,کمتر
got,بدست آورد
blog,وبلاگ
party,مهمانی - جشن
payment,پرداخت
equipment,تجهیزات
login,وارد شدن
student,دانشجو
let,اجازه دهید
programs,برنامه ها
offers,ارائه می دهد
legal,مجاز
above,در بالا
recent,اخیر
park,پارک کردن
stores,مغازه ها
side,سمت
act,عمل
problem,مسئله
red,قرمز
give,دادن
memory,خاطره
performance,کارایی
social,اجتماعی
q,سعدی
august,اوت
quote,نقل قول
language,زبان
story,داستان
sell,فروش
options,گزینه ها
experience,تجربه
rates,نرخ
create,ايجاد كردن
key,کلید
body,بدنه
young,جوان
america,آمریکا
important,مهم
field,رشته
few,تعداد کمی
east,شرق
paper,کاغذ
single,تنها
ii,دوم
age,سن
activities,فعالیت ها
club,باشگاه
example,مثال
girls,دختر
additional,اضافی
password,کلمه عبور
z,Z
latest,آخرین
something,چیزی
road,جاده
gift,هدیه
question,پرسش
changes,تغییر دادن
night,شب
ca,کله
hard,سخت
texas,تگزاس
oct,اکتبر
pay,پرداخت
four,چهار
poker,پوکر
status,وضعیت
browse,مرور کردن
issue,موضوع
range,دامنه
building,ساختمان
seller,فروشنده
court,دادگاه
february,فوریه
always,همیشه
result,نتیجه
audio,سمعی
light,سبک
write,نوشتن
war,جنگ
nov,نوامبر
offer,پیشنهاد
blue,آبی
groups,گروه ها
al,با هم
easy,آسان
given,داده شده
files,فایل ها
event,رویداد
release,رهایی
analysis,تحلیل و بررسی
request,درخواست
fax,فکس
china,چین
making,ساخت
picture,تصویر
needs,نیاز دارد
possible,ممکن
might,ممکن
professional,حرفه ای
yet,هنوز
month,ماه
major,عمده
star,ستاره
areas,مناطق
future,آینده
space,فضا
committee,کمیته
hand,دست
sun,آفتاب
cards,کارت
problems,چالش ها و مسائل
london,لندن
washington,واشنگتن
meeting,ملاقات
rss,RSS
become,تبدیل شدن
interest,علاقه
id,شناسه
child,کودک
keep,نگاه داشتن
enter,وارد
california,کالیفرنیایی
porn,پورنو
share,اشتراک گذاری
similar,مشابه
garden,باغ
schools,مدرسه
million,میلیون
added,اضافه
reference,ارجاع
companies,شرکت
listed,ذکر شده
baby,عزیزم
learning,یادگیری
energy,انرژی
run,اجرا کن
delivery,تحویل
net,خالص
popular,محبوب
term,مدت، اصطلاح
film,فیلم
stories,داستان
put,قرار دادن
computers,رایانه
journal,مجله
reports,گزارش ها
co,هم
try,تلاش كردن
welcome,خوش آمدی
central,مرکزی
images,تصاویر
president,رئيس جمهور
notice,اطلاع
god,خداوند
original,اصلی
head,سر
radio,رادیو
until,تا زمان
cell,سلول
color,رنگ
self,خود
council,شورا
away,دور
includes,شامل می شود
track,مسیر
australia,استرالیا
discussion,بحث
archive,بایگانی
once,یک بار
others,دیگران
entertainment,سرگرمی
agreement,توافق
format,قالب
least,کمترین
society,جامعه
months,ماه ها
log,ورود به سیستم
safety,امنیت
friends,دوستان
sure,مطمئن
faq,پرسش
trade,تجارت
edition,نسخه
cars,ماشین ها
messages,پیام ها
marketing,بازار یابی
tell,گفتن
further,به علاوه
updated,به روز شده
association,اتحادیه
able,قادر
having,داشتن
provides,تصویب کردن
david,داود
fun,سرگرم کردن
already,قبلا، پیش از این
green,سبز
studies,مطالعات
close,بستن
common,مشترک
drive,راندن
specific,ویژه
several,چند
gold,طلا
feb,فوریه
living,زندگي كردن
sep,سپ
collection,مجموعه
called,فراخوانی
short,کوتاه
arts,هنر
lot,بخش
ask,پرسیدن
display,نمایش دادن
limited,محدود
powered,مجهز
solutions,راه حل
means,به معنای
director,کارگردان
daily,روزانه
beach,ساحل دریا
past,گذشته
natural,طبیعی
whether,چه
due,ناشی از
et,ولایت
electronics,الکترونیک
five,پنج
upon,بر
period,دوره زمانی
planning,برنامه ریزی
database,مجموعه پایگاه داده
says,می گوید
official,رسمی
weather,هوا
mar,در میان
land,زمین
average,میانگین
done,انجام شده
technical,فنی
window,پنجره
france,فرانسه
pro,حرفه ای
region,منطقه
island,جزیره
record,رکورد
direct,مستقیم
microsoft,مایکروسافت
conference,کنفرانس
environment,محیط
records,سوابق
st,سد
district,ناحیه
calendar,تقویم
costs,هزینه
style,سبک
url,url
front,جلو
statement,بیانیه
update,به روز رسانی
parts,قطعات
aug,اوت
ever,همیشه
downloads,بارگیری
early,زود
miles,مایل
sound,صدا
resource,منبع
present,حاضر
applications,برنامه های کاربردی
either,هر یک
ago,پیش
document,مدرک
word,کلمه
works,آثار
material,مادی
bill,لایحه
apr,قدر
written,نوشته شده است
talk,صحبت
federal,فدرال
hosting,میزبانی
rules,قاعده
final,نهایی
adult,بزرگ
tickets,بلیط
thing,چیز
centre,مرکز
requirements,الزامات
via,از طريق
cheap,ارزان
nude,برهنه
kids,بچه
finance,دارایی، مالیه، سرمایه گذاری
TRUE,درست است، واقعی
minutes,دقایق
else,دیگر
mark,علامت
third,سوم
rock,سنگ
gifts,هدیه
europe,اروپا
reading,خواندن
topics,موضوعات موضوعاتی
bad,بد
individual,شخصی
tips,نکات
plus,به علاوه
auto,خودکار
cover,پوشش
usually,معمولا
edit,ویرایش کردن
together,با یکدیگر
videos,فیلم های
percent,درصد
fast,سریع
function,تابع
fact,حقیقت
unit,واحد
getting,بدست آوردن
global,جهانی
tech,فن
meet,ملاقات
far,دور
economic,اقتصادی
en,در
player,بازیکن
projects,پروژه ها
lyrics,متن ترانه
often,غالبا
subscribe,اشتراک در
submit,ارسال
germany,آلمان
amount,میزان
watch,تماشا کردن
included,مشمول
feel,احساس کردن
though,اگر چه
bank,بانک
risk,خطر
thanks,با تشکر
everything,همه چيز
deals,معاملات
various,مختلف
words,کلمات
linux,لینوکس
jul,جول
production,تولید
commercial,تجاری
james,جیمز
weight,وزن
town,شهر
heart,قلب
advertising,تبلیغات
received,اخذ شده
choose,انتخاب کنید
treatment,رفتار
newsletter,خبرنامه
archives,بایگانی
points,نکته ها
knowledge,دانش
magazine,مجله
error,خطا
camera,دوربین
jun,جون جون
girl,دختر
currently,در حال حاضر
construction,ساخت و ساز
toys,اسباب
registered,ثبت شده
clear,پاک کردن
golf,گلف
receive,دريافت كردن
domain,دامنه
methods,مواد و روش ها
chapter,بخش
makes,باعث می شود
protection,حفاظت
policies,سیاست های
loan,وام
wide,وسیع
beauty,زیبایی
manager,مدیر
india,هندوستان
position,موقعیت
taken,گرفته شده
sort,مرتب سازی
listings,لیست
models,مدل ها
michael,میشل
known,شناخته شده
half,نیم
cases,موارد
step,گام
engineering,مهندسی
florida,فلوریدا
simple,ساده
quick,سریع
none,هیچ یک
wireless,بي سيم
license,مجوز
paul,پولک
friday,جمعه
lake,دریاچه
whole,تمام
annual,سالانه
published,منتشر شده
later,بعد
basic,پایه ای
sony,سونی
shows,نشان می دهد
corporate,شرکت های بزرگ، دارای شخصیت حقوقی
google,گوگل
church,کلیسا
method,روش
purchase,خرید
customers,مشتری
active,فعال
response,واکنش
practice,تمرین
hardware,سخت افزار
figure,شکل
materials,مواد
fire,آتش
holiday,تعطیل
chat,گپ
enough,کافی
designed,طراحی شده
along,در امتداد
among,از جمله
death,مرگ
writing,نوشتن
speed,سرعت
html,HTML
countries,کشورها
loss,ضرر - زیان
face,صورت
brand,نام تجاری
discount,تخفیف
higher,بالاتر
effects,اثرات
created,ایجاد شده
remember,یاد آوردن
standards,معیارها
oil,روغن
bit,بیت
yellow,رنگ زرد
political,وابسته به سیاسی
increase,افزایش دادن
advertise,تبلیغات
kingdom,پادشاهی
base,پایه
near,نزدیک
environmental,محیطی
thought,فکر
stuff,چیز
french,فرانسوی
storage,ذخیره سازی
oh,اوه
japan,ژاپن
doing,در حال انجام
loans,وام
shoes,کفش
entry,ورود
stay,اقامت کردن
nature,ذات
orders,سفارش
availability,دسترسی
africa,آفریقا
summary,خلاصه
turn,دور زدن
mean,منظور داشتن
growth,رشد
notes,یادداشت
agency,آژانس
king,پادشاه
monday,دوشنبه
european,اروپایی
activity,فعالیت
copy,کپی 🀄
although,با اينكه
drug,دارو
pics,عکس
western,غربی
income,درآمد
force,زور
cash,پول نقد
employment,استخدام
overall,به طور کلی
bay,خلیج
river,رودخانه
commission,راهق
ad,آگهی
package,بسته بندی کردن
contents,فهرست
seen,مشاهده گردید
players,بازیکنان
engine,موتور
port,بندر
album,آلبوم
regional,منطقه ای
stop,متوقف کردن
supplies,تدارکات
started,آغاز شده
administration,مدیریت
bar,بار
institute,موسسه
views,نمایش
plans,برنامه
double,دو برابر
dog,سگ
build,ساختن
screen,صفحه نمایش
exchange,تبادل
types,انواع
soon,به زودی
sponsored,حامی
lines,خط
electronic,الکترونیکی
continue,ادامه هید
across,در سراسر
benefits,فواید
needed,لازم
season,فصلی
apply,درخواست دادن
someone,کسی
held,برگزار شد
ny,نیویورک
anything,هر چیزی
printer,چاپگر
condition,وضعیت
effective,تاثير گذار
believe,ایمان داشتن
organization,سازمان
effect,اثر
asked,خواسته
eur,یورو
mind,فکر
sunday,یکشنبه
selection,انتخاب
casino,کازینو
pdf,PDF
lost,گمشده
tour,تور
menu,منو
volume,جلد
cross,صلیب
anyone,هر کسی
mortgage,رهن
hope,امید
silver,نقره
corporation,شرکت
wish,آرزو کردن
inside,داخل
solution,راه حل
mature,بالغ
role,نقش
rather,نسبتا
weeks,چند هفته
addition,افزودن
came,اومدم
supply,عرضه
nothing,هیچ چی
certain,مسلم - قطعی
usr,ید
executive,اجرایی
running,دویدن
lower,پایین
necessary,لازم
union,اتحاد. اتصال
jewelry,جواهر سازی
according,با توجه
dc,دی سی
clothing,تن پوش
mon,روز
com,کم
particular,خاص
fine,خوب
names,نام
robert,رابرت
homepage,صفحه نخست
hour,یک ساعت
gas,گاز
skills,مهارت ها
six,شش
bush,بوته
islands,جزایر
advice,مشورت
career,حرفه
military,نظامی
rental,اجاره ای
decision,تصمیم
leave,ترک کردن
british,انگلیسی
teens,نوجوان
pre,پیش
huge,بزرگ
sat,نشست
woman,زن
facilities,تسهیلات
zip,زیپ
bid,پیشنهاد
kind,نوع
sellers,فروشندگان
middle,میانه
move,حرکت
cable,کابل
opportunities,فرصت ها
taking,مواظب
values,ارزش های
division,بخش
coming,آینده
tuesday,سهشنبه
object,هدف - شی
lesbian,وابسته به لزبین
appropriate,مناسب
machine,دستگاه
logo,لوگو
length,طول
actually,در حقیقت
nice,خوب
score,نمره
statistics,آمار
client,مشتری
ok,خوب
returns,بازگرداندن
capital,سرمایه، پایتخت
follow,دنبال کردن
sample,نمونه
investment,سرمایه گذاری
sent,ارسال شد
shown,نشان داده شده
saturday,شنبه
christmas,کریسمس
england,انگلستان
culture,فرهنگ
band,باند
flash,فلاش
ms,ام‌اس
lead,رهبری
george,جورج
choice,انتخاب
went,رفت
starting,راه افتادن
registration,ثبت
fri,جمعه
thursday,پنج شنبه
courses,دوره های آموزشی
consumer,مصرف كننده
hi,سلام
airport,فرودگاه
foreign,خارجی
artist,هنرمند
outside,خارج از
furniture,مبلمان
levels,سطح
channel,کانال
letter,حرف
mode,حالت
phones,تلفن
ideas,ایده ها
wednesday,چهار شنبه
structure,ساختار
fund,سرمایه
summer,تابستان
allow,اجازه
degree,درجه
contract,قرارداد
button,دکمه
releases,منتشر شده
wed,عروسی کردن
homes,خانه
super,فوق العاده
male,نر
matter,موضوع
custom,سفارشی
virginia,ویرجینیا
almost,تقریبا
took,گرفت
located,واقع شده
multiple,چندگانه
asian,وابسته به آسیایی
distribution,توزیع
editor,ویرایشگر
inn,مسافرخانه
industrial,صنعتی
cause,علت
potential,پتانسیل
song,ترانه
cnet,CNET
ltd,با مسئولیت محدود
los,لجن
hp,HP
focus,تمرکز
late,دیر
fall,سقوط
featured,ویژه
idea,اندیشه
rooms,اتاق
female,زن
responsible,مسئول
inc,inc
communications,ارتباطات
win,پیروزی
associated,مرتبط است
thomas,توماس
primary,اولیه
cancer,سرطان
numbers,شماره
reason,دلیل
tool,ابزار
browser,مرورگر
spring,بهار
foundation,پایه
answer,پاسخ
voice,صدا
eg,به عنوان مثال
friendly,دوستانه
schedule,برنامه
documents,اسناد
communication,ارتباط
purpose,هدف
feature,ویژگی
bed,بستر
comes,می آید
police,پلیس
everyone,هر کس
independent,مستقل
ip,با منبت کاری کردن
approach,رویکرد
cameras,دوربین
brown,رنگ قهوه ای
physical,فیزیکی
operating,عملیاتی
hill,تپه
maps,نقشه ها
medicine,دارو
deal,معامله
hold,نگه داشتن
ratings,رتبه بندی
chicago,شیکاگو
forms,تشکیل می دهد
glass,شیشه
happy,خوشحال
tue,سه
smith,اسمیت
wanted,تحت تعقیب
developed,توسعه یافته
thank,تشکر
safe,بی خطر
unique,منحصر بفرد
survey,نظر سنجی
prior,پیش
telephone,تلفن
sport,ورزش
ready,آماده
feed,خوراک
animal,حیوانی
sources,منابع
mexico,مکزیک
population,جمعیت
pa,پا
regular,منظم
secure,امن است
navigation,جهت یابی
operations,عمل
therefore,از این رو
ass,الاغ
simply,به سادگی
evidence,شواهد و مدارک
station,ایستگاه
christian,مسیحی
round,گرد
paypal,پیپ
favorite,مورد علاقه
understand,فهمیدن
option,گزینه
master,استاد
valley,دره
recently,به تازگی
probably,شاید
thu,پنجه
rentals,اجاره
sea,دریا
built,ساخته شده
publications,انتشارات
blood,خون
cut,برش
worldwide,در سراسر جهان
improve,بهتر کردن
connection,ارتباط
publisher,ناشر
hall,سالن
larger,بزرگتر
anti,ضد
networks,شبکه های
earth,زمین
parents,والدین
nokia,نوکیا
impact,تأثیر
transfer,انتقال
introduction,معرفی
kitchen,آشپزخانه
strong,قوی
tel,تلفن
carolina,کارولینای
wedding,عروسی
properties,خواص
hospital,بیمارستان
ground,زمین
overview,بررسی اجمالی
ship,کشتی
accommodation,محل اقامت
owners,صاحبان
disease,بیماری
tx,TX
excellent,عالی
paid,پرداخت شده
italy,ایتالیا
perfect,کامل
hair,مو
opportunity,فرصت
kit,کیت
classic,باستانی
basis,پایه
command,فرمان
cities,شهر
william,ویلیام
express,بیان
anal,مقعد
award,اعطا کردن
distance,فاصله
tree,درخت
peter,پیتر
assessment,ارزیابی
ensure,اطمینان حاصل شود
thus,بدین ترتیب
wall,دیوار
ie,یعنی
involved,گرفتار
el,ا الو
extra,اضافی
especially,بخصوص
interface,رابط
pussy,گربه
partners,شرکای
budget,بودجه
rated,دارای رتبه
guides,راهنما
success,موفقیت
maximum,بیشترین
ma,ما
operation,عمل
existing,موجود
quite,کاملا
selected,انتخاب شد
boy,پسر
amazon,وابسته به آمازون
patients,بیماران
restaurants,رستوران ها
beautiful,زیبا
warning,هشدار
wine,شراب
locations,محل
horse,اسب
vote,رای
forward,رو به جلو
flowers,گل ها
stars,ستاره ها
significant,قابل توجه
lists,لیست
technologies,فن آوری
owner,صاحب
retail,خرده فروشی
animals,حیوانات
useful,مفید
directly,به طور مستقیم
manufacturer,سازنده
ways,راه ها
est,با
son,فرزند پسر
providing,فراهم آوردن
rule,قانون
mac,مک
housing,محفظه
takes,طول می کشد
iii,سوم
gmt,GMT
bring,ادا کردن
catalog,کاتالوگ
searches,جستجو
max,حداکثر
trying,کوشش
mother,مادر
authority,قدرت
considered,در نظر گرفته شده
told,گفت
xml,XML
traffic,ترافیک
programme,برنامه
joined,پیوسته
input,ورودی
strategy,استراتژی
feet,پا
agent,عامل
valid,معتبر
bin,صندوقچه
modern,نوین
senior,ارشد
ireland,ایرلند
sexy,سکسی
teaching,درس دادن
door,در، درب
grand,بزرگ
testing,آزمایش کردن
trial,آزمایش
charge,شارژ
units,واحد
instead,بجای
canadian,وابسته به کانادایی
cool,سرد
normal,طبیعی
wrote,نوشت
enterprise,شرکت، پروژه
ships,کشتی ها
entire,تمام
educational,تحصیلی
md,مگس
leading,منتهی شدن
metal,فلز
positive,مثبت
fl,fl
fitness,تناسب اندام
chinese,چینی ها
opinion,نظر
mb,MB
asia,آسیا
football,فوتبال
abstract,خلاصه
uses,کاربردهای
output,خروجی
funds,منابع مالی
mr,آقای
greater,بیشتر
likely,احتمال دارد
develop,توسعه دادن
employees,کارمندان
artists,هنرمند
alternative,جایگزین
processing,در حال پردازش
responsibility,مسئوليت
resolution,وضوح
java,جاوا
guest,مهمان
seems,به نظر می رسد
publication,انتشار
pass,عبور
relations,روابط
trust,اعتماد
van,ون
contains,حاوی
session,جلسه
multi,چند
photography,عکاسی
republic,جمهوری
fees,هزینه
components,اجزاء
vacation,تعطیلات
century,قرن
academic,علمی
assistance,معاونت
completed,کامل
skin,پوست
graphics,گرافیک
indian,هندی
prev,سعادت
ads,تبلیغات
mary,مريم
il,Il
expected,انتظار می رود
ring,حلقه
grade,مقطع تحصیلی
dating,دوستیابی
pacific,صلح جو
mountain,کوه
organizations,سازمان های
pop,ترکیدن
filter,فیلتر کردن
mailing,پستی
vehicle,وسیله نقلیه
longer,طولانی تر
consider,در نظر گرفتن
int,در نظر گرفتن
northern,شمالی
behind,پشت
panel,تابلو
floor,کف
german,آلمانی
buying,خریداری کردن
match,همخوانی داشتن
proposed,پیشنهاد شده
default,پیش فرض
require,نیاز
iraq,عراق
boys,پسران
outdoor,در فضای باز
deep,عمیق
morning,صبح
otherwise,در غیر این صورت
allows,اجازه می دهد
rest,باقی مانده
protein,پروتئین
plant,گیاه
reported,گزارش شده
hit,اصابت
transportation,حمل و نقل
mm,مگنی
pool,استخر
mini,مینی
politics,سیاست
partner,شریک
disclaimer,سلب مسئولیت
authors,نویسندگان
boards,تابلو
faculty,دانشکده
parties,مهمانی
fish,ماهی
membership,عضویت
mission,مأموریت
eye,چشم
string,رشته
sense,احساس، مفهوم
modified,اصلاح شده
pack,بسته بندی کردن
released,منتشر شد
stage,صحنه
internal,درونی؛ داخلی
goods,کالا
recommended,توصیه شده
born,بدنیا آمدن
unless,مگر اینکه
richard,ریچارد
detailed,مفصل
japanese,وابسته به ژاپنی
race,مسابقه
approved,تایید شده
background,زمینه
target,هدف
except,بجز
character,شخصیت
usb,یو اس بی
maintenance,نگهداری
ability,توانایی
maybe,شاید
functions,کارکرد
ed,ارباب
moving,در حال حرکت
brands,مارک
places,مکان
php,PHP
pretty,بسیار
trademarks,علائم تجاری
phentermine,عیاشی
spain,اسپانیا
southern,جنوبی
yourself,خود شما
etc,و غیره
winter,زمستان
rape,تجاوز
battery,باتری
youth,جوانان
pressure,فشار
submitted,ارسال شده
boston,بوستون
incest,محر
debt,بدهی
keywords,کلید واژه ها
medium,متوسط
television,تلویزیون
interested,علاقه مند
core,هسته
break,زنگ تفريح
purposes,اهداف
throughout,در سراسر
sets,مجموعه
dance,رقص
wood,چوب
msn,مات
itself,خود
defined,تعریف شده است
papers,اوراق
playing,بازی کردن
awards,جوایز
fee,هزینه
studio,استحکامات
reader,خواننده
virtual,مجازی
device,دستگاه
established,ایجاد
answers,پاسخ
rent,اجاره
las,لگد
remote,از راه دور
dark,تاریک
programming,برنامه نويسي
external,خارجی
apple,سیب
le,لجن
regarding,با توجه
instructions,دستورالعمل ها
min,حداقل
offered,ارایه شده
theory,تئوری
enjoy,لذت ببرید
remove,برداشتن
aid,کمک
surface,سطح
minimum,کمترین
visual,دیداری
host,میزبان
variety,تنوع
teachers,معلمان
isbn,ISBN
martin,مارتین
manual,کتابچه راهنمای
block,مسدود کردن
subjects,فاعل، موضوع
agents,مأمورین
increased,افزایش یافت
repair,تعمیر
fair,نمایشگاه
civil,مدنی
steel,فولاد
understanding,درك كردن
songs,آهنگ ها
fixed,درست شد
wrong,اشتباه
beginning,شروع
hands,دست ها
associates,همکار
finally,سرانجام
az,آزیان
updates,به روزرسانی
desktop,دسکتاپ
classes,کلاس ها
paris,پاریس
ohio,اوهایو
gets,گرفتن
sector,بخش
capacity,ظرفیت
requires,مستلزم
jersey,پیراهن ورزشی
un,در
fat,چربی
fully,کامل
father,پدر
electric,برقی
saw,اره
instruments,ساز
quotes,نقل قول
officer,افسر
driver,راننده
businesses,کسب و کار
dead,مرده
respect,توجه
unknown,ناشناخته
specified,مشخص شده
restaurant,رستوران
mike,مایک
trip,سفر
pst,عکسبرداری
worth,ارزش
mi,MI
procedures,روش
poor,فقیر
teacher,معلم
xxx,xxx
eyes,چشم ها
relationship,ارتباط
